date,year,quarter,action,ticker,market,shares,price_local,currency,eur_usd_rate,amount_eur,return_pct
2020-10-31,2020,Q4 2020,BUY,ENPH,US,12.8552,98.09,USD,1.1647,1082.66,
2021-01-31,2021,Q1 2021,SELL,CLNX,IBEX,14.9249,44.75,EUR,,667.89,63.38
2021-01-31,2021,Q1 2021,SELL,NVDA,US,111.5522,12.99,USD,1.2136,1194.02,18.78
2021-01-31,2021,Q1 2021,SELL,BE,US,106.3401,34.91,USD,1.2136,3058.94,165.06
2021-01-31,2021,Q1 2021,BUY,PDD,US,13.9429,165.71,USD,1.2136,1903.82,
2021-01-31,2021,Q1 2021,BUY,SITM,US,18.9306,122.05,USD,1.2136,1903.82,
2021-01-31,2021,Q1 2021,BUY,FDR,IBEX,56.2226,19.8,EUR,,1113.21,
2021-04-30,2021,Q2 2021,SELL,SLR,IBEX,72.3237,17.055,EUR,,1233.48,32.93
2021-04-30,2021,Q2 2021,SELL,ENPH,US,12.8552,139.25,USD,1.2018,1489.51,37.58
2021-04-30,2021,Q2 2021,SELL,PDD,US,13.9429,133.93,USD,1.2018,1553.81,-18.38
2021-04-30,2021,Q2 2021,BUY,HUT,US,74.271,27.25,USD,1.2018,1684.04,
2021-04-30,2021,Q2 2021,BUY,GSAT,US,106.2406,19.05,USD,1.2018,1684.04,
2021-04-30,2021,Q2 2021,BUY,MTS,IBEX,37.5115,24.225,EUR,,908.71,
2021-07-31,2021,Q3 2021,SELL,TSLA,US,15.2658,229.07,USD,1.187,2946.03,305.55
2021-07-31,2021,Q3 2021,SELL,SITM,US,18.9306,135.64,USD,1.187,2163.22,13.63
2021-07-31,2021,Q3 2021,BUY,MP,US,58.7753,37.62,USD,1.187,1862.78,
2021-07-31,2021,Q3 2021,BUY,MOD,US,132.1653,16.73,USD,1.187,1862.78,
2021-10-31,2021,Q4 2021,SELL,FDR,IBEX,56.2226,33.05,EUR,,1858.16,66.92
2021-10-31,2021,Q4 2021,SELL,MTS,IBEX,37.5115,29.34,EUR,,1100.59,21.11
2021-10-31,2021,Q4 2021,SELL,MOD,US,132.1653,11.0,USD,1.1561,1257.52,-32.49
2021-10-31,2021,Q4 2021,BUY,SITM,US,9.8579,264.89,USD,1.1561,2258.67,
2021-10-31,2021,Q4 2021,BUY,SAB,IBEX,2993.8686,0.6964,EUR,,2084.93,
2021-10-31,2021,Q4 2021,BUY,BBVA,IBEX,207.2488,6.062,EUR,,1256.34,
